,Id,No,Si,departamento,habilitados,nomarcados,nombre,nulos,total votos,validos
214,01085,641,464,ANTIOQUIA,4081,22,CAROLINA,23,1150,1105
215,01088,11495,8801,ANTIOQUIA,66133,247,CAUCASIA,368,20911,20296
216,01106,5745,6322,ANTIOQUIA,44791,138,CHIGORODO,187,12392,12067
217,01091,1837,1084,ANTIOQUIA,11434,33,CISNEROS,63,3017,2921
218,01094,3006,1647,ANTIOQUIA,12965,130,COCORNA,81,4864,4653
219,01097,931,572,ANTIOQUIA,4409,23,CONCEPCION,27,1553,1503
220,01100,2081,998,ANTIOQUIA,16027,55,CONCORDIA,50,3184,3079
221,01103,15052,9535,ANTIOQUIA,62062,323,COPACABANA,369,25279,24587
222,01109,1622,2971,ANTIOQUIA,16986,166,DABEIBA,99,4858,4593
223,01115,1788,967,ANTIOQUIA,11421,59,EBEJICO,32,2846,2755
224,01118,1766,868,ANTIOQUIA,7957,16,ENTRERRIOS,30,2680,2634
225,01121,67255,37800,ANTIOQUIA,232003,872,ENVIGADO,1061,106988,105055
226,01124,3064,1703,ANTIOQUIA,18196,27,FREDONIA,64,4858,4767
227,01127,1744,2148,ANTIOQUIA,16785,68,FRONTINO,78,4038,3892
228,01130,557,666,ANTIOQUIA,3946,11,GIRALDO,17,1251,1223
229,01133,10680,6088,ANTIOQUIA,47612,90,GIRARDOTA,277,17135,16768
230,01139,2120,1382,ANTIOQUIA,10270,75,GRANADA,53,3630,3502
231,01140,587,714,ANTIOQUIA,5656,40,GUADALUPE,47,1388,1301
232,01142,10604,3870,ANTIOQUIA,31687,116,GUARNE,214,14804,14474
233,01145,1966,1232,ANTIOQUIA,6523,26,GUATAPE,37,3261,3198
234,01148,795,632,ANTIOQUIA,6157,36,HELICONIA,29,1492,1427
235,01150,654,459,ANTIOQUIA,5219,18,HISPANIA,11,1142,1113
236,01151,59627,35166,ANTIOQUIA,245703,426,ITAGUI,1344,96563,94793
237,01154,1196,2706,ANTIOQUIA,17406,139,ITUANGO,116,4157,3902
